Entity,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation,Number of parameters (Original Day),Training computation (petaFLOP) (Original Day),,,,Number of parameters,Training computation (petaFLOP),,,,
PanGu-Σ,2/17/2026,467000000,1.09E+12,Industry,3/20/2023,3/20/2023,,,,1.09E+12,467000000,,,,
Pangu Ultra,2/17/2026,10692001000,1.35E+11,Industry,4/10/2025,4/10/2025,,,,1.35E+11,10692001000,,,,
Pangu-Weather,2/17/2026,39800000,256000000,Industry,7/5/2023,7/5/2023,,,,256000000,39800000,,,,
Parti,2/17/2026,509607970,20000000000,Industry,6/22/2022,6/22/2022,,,,20000000000,509607970,,,,
Perceptron (1960),2/17/2026,7.20E-07,1000,Academia,3/30/1960,3/30/1960,,,,1000,7.20E-07,,,,
Perceptron Mark I,2/17/2026,6.95E-10,1000,Academia,1/1/1957,1/1/1957,,,,1000,6.95E-10,,,,
PermuteFormer,2/17/2026,2775,149697024,Academia,9/6/2021,9/6/2021,,,,149697024,2775,,,,
PoE MNIST,2/17/2026,0.051810004,3925310,Academia,11/28/2000,11/28/2000,,,,3925310,0.051810004,,,,
Pointer Sentinel-LSTM (medium),2/17/2026,7.49,21000000,Industry,9/26/2016,9/26/2016,,,,21000000,7.49,,,,
PolyCoder,2/17/2026,1100000,2700000000,Academia,2/26/2022,2/26/2022,,,,2700000000,1100000,,,,
PolyNet,2/17/2026,64000,92000000,Academia,11/17/2016,11/17/2016,,,,92000000,64000,,,,
Pooling CNN (Caltech 101),2/17/2026,1.2211242,294912,Academia,9/15/2010,9/15/2010,,,,294912,1.2211242,,,,
Pooling CNN (NORB),2/17/2026,1.4562773,268664,Academia,9/15/2010,9/15/2010,,,,268664,1.4562773,,,,
Predictive Coding NN,2/17/2026,0.018621901,206910,Academia,12/2/1994,12/2/1994,,,,206910,0.018621901,,,,
ProBERTa,2/17/2026,9720.001,44000000,Academia,9/1/2020,9/1/2020,,,,44000000,9720.001,,,,
ProGen2-xlarge,2/17/2026,13500001,6400000000,Academia and industry collaboration,6/27/2022,6/27/2022,,,,6400000000,13500001,,,,
ProtBERT-BFD,2/17/2026,39000004,420000000,Other,5/4/2021,5/4/2021,,,,420000000,39000004,,,,
ProtT5-XL-U50,2/17/2026,18704498,3000000000,Other,5/4/2021,5/4/2021,,,,3000000000,18704498,,,,
ProteinBERT,2/17/2026,65000,16000000,Academia and industry collaboration,2/10/2022,2/10/2022,,,,16000000,65000,,,,
PyramidNet,2/17/2026,2.34,26000000,Academia,9/6/2017,9/6/2017,,,,26000000,2.34,,,,
QRNN,2/17/2026,688.66473,135000000,Industry,2/1/2018,2/1/2018,,,,135000000,688.66473,,,,
QwQ-32B,2/17/2026,3510000000,32500000000,Industry,3/6/2025,3/6/2025,,,,32500000000,3510000000,,,,
Qwen-72B,2/17/2026,1300000000,72000000000,Industry,11/30/2023,11/30/2023,,,,72000000000,1300000000,,,,
Qwen1.5-72B,2/17/2026,1300000000,72000000000,Industry,2/4/2024,2/4/2024,,,,72000000000,1300000000,,,,
Qwen2-72B,2/17/2026,3020000000,72710000000,Industry,6/7/2024,6/7/2024,,,,72710000000,3020000000,,,,
Qwen2.5 Instruct (72B),2/17/2026,7851600400,72700000000,Industry,9/19/2024,9/19/2024,,,,72700000000,7851600400,,,,
Qwen2.5-32B,2/17/2026,3510000000,32500000000,Industry,9/17/2024,9/17/2024,,,,32500000000,3510000000,,,,
Qwen2.5-72B,2/17/2026,7800000000,72700000000,Industry,9/19/2024,9/19/2024,,,,72700000000,7800000000,,,,
Qwen3-235B-A22B,2/17/2026,4752000000,2.35E+11,Industry,4/29/2025,4/29/2025,,,,2.35E+11,4752000000,,,,
Qwen3-235B-A22B (Jul 2025),2/17/2026,4752000000,2.35E+11,Industry,7/25/2025,7/25/2025,,,,2.35E+11,4752000000,,,,
Qwen3-235B-A22B-Thinking (Jul 2025),2/17/2026,4752000000,2.35E+11,Industry,7/25/2025,7/25/2025,,,,2.35E+11,4752000000,,,,
Qwen3-Coder-480B-A35B,2/17/2026,1575000000,4.80E+11,Industry,7/22/2025,7/22/2025,,,,4.80E+11,1575000000,,,,
Qwen3-Max,2/17/2026,15120000000,1.00E+12,Industry,9/5/2025,9/5/2025,,,,1.00E+12,15120000000,,,,
Qwen3-Omni-30B-A3B,2/17/2026,36000000,35300000000,Industry,9/22/2025,9/22/2025,,,,35300000000,36000000,,,,
RDT-1B,2/17/2026,40600000,1200000000,Academia,10/10/2024,10/10/2024,,,,1200000000,40600000,,,,
RECONTRA-categorized,2/17/2026,0.008013601,66780,Other,6/2/1999,6/2/1999,,,,66780,0.008013601,,,,
RECONTRA-uncategorized,2/17/2026,0.003864,112000,Other,6/2/1999,6/2/1999,,,,112000,0.003864,,,,
RETRO-7B,2/17/2026,16800000,7500000000,Industry,2/7/2022,2/7/2022,,,,7500000000,16800000,,,,
RNN LM,2/17/2026,53.960003,70265000,Academia,9/26/2010,9/26/2010,,,,70265000,53.960003,,,,
RankNet,2/17/2026,0.003482082,5711,Industry,8/7/2005,8/7/2005,,,,5711,0.003482082,,,,
ReLU-Speech,2/17/2026,127.733765,101706240,Academia and industry collaboration,5/26/2013,5/26/2013,,,,101706240,127.733765,,,,
Reka Core,2/17/2026,8400010000,67000000000,Industry,4/15/2024,4/15/2024,,,,67000000000,8400010000,,,,
ResNeXt-101 (64×4d),2/17/2026,12000,83000000,Academia and industry collaboration,11/16/2016,11/16/2016,,,,83000000,12000,,,,
ResNeXt-101 32x48d,2/17/2026,8743950,829000000,Industry,5/2/2018,5/2/2018,,,,829000000,8743950,,,,
ResNet-101 (ImageNet),2/17/2026,7004,44500000,Industry,12/10/2015,12/10/2015,,,,44500000,7004,,,,
ResNet-152 (ImageNet),2/17/2026,10414.081,60200000,Industry,12/10/2015,12/10/2015,,,,60200000,10414.081,,,,
RetinaNet-R101,2/17/2026,2065.392,53000000,Industry,8/7/2017,8/7/2017,,,,53000000,2065.392,,,,
RoBERTa Large,2/17/2026,8506700,355000000,Academia and industry collaboration,7/1/2019,7/1/2019,,,,355000000,8506700,,,,
RoFormer,2/17/2026,2162.688,110000000,Industry,11/8/2023,11/8/2023,,,,110000000,2162.688,,,,
S4,2/17/2026,78328.625,249000000,Academia,10/31/2021,10/31/2021,,,,249000000,78328.625,,,,
SAF R-CNN,2/17/2026,12311.081,138000000,Academia and industry collaboration,10/28/2015,10/28/2015,,,,138000000,12311.081,,,,
SB-LM,2/17/2026,1449.4465,3.00E+11,Industry,6/22/2007,6/22/2007,,,,3.00E+11,1449.4465,,,,
SEER,2/17/2026,18000000,1300000000,Academia and industry collaboration,7/29/2021,7/29/2021,,,,1300000000,18000000,,,,
SNM-skip,2/17/2026,297600,62000000000,Industry,12/3/2014,12/3/2014,,,,62000000000,297600,,,,
SOM-CNN,2/17/2026,3.14E-05,32015,Other,1/31/1997,1/31/1997,,,,32015,3.14E-05,,,,
SPHINX (Llama 2 13B),2/17/2026,30400000,19900000000,Academia,11/13/2023,11/13/2023,,,,19900000000,30400000,,,,
SPIDER2,2/17/2026,18.220001,409536,Academia,10/28/2016,10/28/2016,,,,409536,18.220001,,,,
SPN-4+KN5,2/17/2026,44,5000000,Other,9/14/2014,9/14/2014,,,,5000000,44,,,,
SRU++ Large,2/17/2026,21173.705,234000000,Industry,2/24/2021,2/24/2021,,,,234000000,21173.705,,,,
ST-MoE,2/17/2026,290000000,2.69E+11,Industry,2/17/2022,2/17/2022,,,,2.69E+11,290000000,,,,
SVM-CNN,2/17/2026,0.7452,90857,Academia,6/17/2006,6/17/2006,,,,90857,0.7452,,,,
Samuel Neural Checkers,2/17/2026,4.28E-07,16,Industry,7/1/1959,7/1/1959,,,,16,4.28E-07,,,,
Sandwich Transformer,2/17/2026,23504.094,209000000,Other,11/10/2019,11/10/2019,,,,209000000,23504.094,,,,
SciBERT,2/17/2026,89268.48,110000000,Other,3/26/2019,3/26/2019,,,,110000000,89268.48,,,,
"Segatron-XL large, M=384 + HCP",2/17/2026,26500,257000000,Academia and industry collaboration,3/21/2022,3/21/2022,,,,257000000,26500,,,,
Segment Anything Model,2/17/2026,7800000,636000000,Industry,4/5/2023,4/5/2023,,,,636000000,7800000,,,,
Seq2Seq LSTM,2/17/2026,56000,1920000000,Industry,9/10/2014,9/10/2014,,,,1920000000,56000,,,,
SexNet compression,2/17/2026,7.88E-05,72940,Other,10/1/1990,10/1/1990,,,,72940,7.88E-05,,,,
Siamese-TDNN,2/17/2026,0.01286957,744,Industry,8/1/1993,8/1/1993,,,,744,0.01286957,,,,
SigLIP 400M,2/17/2026,4946730.5,400000000,Industry,3/27/2023,3/27/2023,,,,400000000,4946730.5,,,,
Skywork-13B,2/17/2026,250000000,13000000000,Industry,10/30/2023,10/30/2023,,,,13000000000,250000000,,,,
Sparse all-MLP,2/17/2026,532224,9410000000,Industry,4/14/2022,4/14/2022,,,,9410000000,532224,,,,
Speaker-independent vowel classification,2/17/2026,7.49E-06,3040,Academia,11/27/1989,11/27/1989,,,,3040,7.49E-06,,,,
Stable Diffusion (LDM-KL-8-G),2/17/2026,50000000,1450000000,Academia and industry collaboration,4/13/2022,4/13/2022,,,,1450000000,50000000,,,,
Stable Diffusion 3,2/17/2026,50000000,8000000000,Industry,2/22/2024,2/22/2024,,,,8000000000,50000000,,,,
StarCoder,2/17/2026,84600000,15500000000,Other,5/9/2023,5/9/2023,,,,15500000000,84600000,,,,
Statement Curriculum Learning,2/17/2026,17901648,774000000,Industry,3/2/2022,3/2/2022,,,,774000000,17901648,,,,
StyleGAN,2/17/2026,39.3,26200000,Industry,12/12/2018,12/12/2018,,,,26200000,39.3,,,,
StyleGAN3-R,2/17/2026,2427840,1580000,Academia and industry collaboration,6/21/2021,6/21/2021,,,,1580000,2427840,,,,
StyleGAN3-T,2/17/2026,1702080,2230000,Academia and industry collaboration,6/21/2021,6/21/2021,,,,2230000,1702080,,,,
Swift,2/17/2026,53.37,56804,Industry,8/30/2023,8/30/2023,,,,56804,53.37,,,,
Swin Transformer V2 (SwinV2-G),2/17/2026,1100000,3000000000,Industry,11/18/2021,11/18/2021,,,,3000000000,1100000,,,,
Switch,2/17/2026,82200000,1.57E+12,Industry,1/11/2021,1/11/2021,,,,1.57E+12,82200000,,,,
System 11,2/17/2026,2.59E-05,6452,Academia,6/18/1996,6/18/1996,,,,6452,2.59E-05,,,,
T5-11B,2/17/2026,33000000,11000000000,Industry,10/23/2019,10/23/2019,,,,11000000000,33000000,,,,
T5-3B,2/17/2026,9000000,2800000000,Industry,10/23/2019,10/23/2019,,,,2800000000,9000000,,,,
TA-CNN,2/17/2026,10.854,706048,Academia,11/29/2014,11/29/2014,,,,706048,10.854,,,,
TC-DNN-BLSTM-DNN,2/17/2026,194.10193,18413568,Academia,4/6/2015,4/6/2015,,,,18413568,194.10193,,,,
TD-Gammon,2/17/2026,0.018232157,25000,Industry,5/1/1992,5/1/1992,,,,25000,0.018232157,,,,
TaLK Convolution,2/17/2026,26990.346,240000000,Academia,2/8/2020,2/8/2020,,,,240000000,26990.346,,,,
Telechat2-115B,2/17/2026,6900000300,1.15E+11,Industry,9/20/2024,9/20/2024,,,,1.15E+11,6900000300,,,,
Tensor-Transformer(1core)+PN (WT103),2/17/2026,1580,85300000,Academia,3/17/2020,3/17/2020,,,,85300000,1580,,,,
Theseus,2/17/2026,4.00E-14,40,Industry,7/2/1950,7/2/1950,,,,40,4.00E-14,,,,
Tranception,2/17/2026,7240000.5,700000000,Academia and industry collaboration,5/27/2022,5/27/2022,,,,700000000,7240000.5,,,,
TransE,2/17/2026,1340.928,942000000,Academia and industry collaboration,12/5/2013,12/5/2013,,,,942000000,1340.928,,,,
Transformer (2017),2/17/2026,7424.525,213000000,Industry,6/12/2017,6/12/2017,,,,213000000,7424.525,,,,
Transformer (Adaptive Input Embeddings) WT103,2/17/2026,44700,247000000,Industry,9/28/2018,9/28/2018,,,,247000000,44700,,,,
Transformer + Simple Recurrent Unit,2/17/2026,11000,90000000,Academia and industry collaboration,9/17/2018,9/17/2018,,,,90000000,11000,,,,
Transformer local-attention (NesT-B),2/17/2026,24057.602,90100000,Industry,5/26/2021,5/26/2021,,,,90100000,24057.602,,,,
Transformer-XL (257M),2/17/2026,378327.72,257000000,Academia and industry collaboration,1/9/2019,1/9/2019,,,,257000000,378327.72,,,,
Transformer-XL DeFINE (141M),2/17/2026,1742.76,141000000,Other,11/27/2019,11/27/2019,,,,141000000,1742.76,,,,
Transformer-XL Large + Phrase Induction,2/17/2026,378486.53,257000000,Academia,6/4/2019,6/4/2019,,,,257000000,378486.53,,,,
TransformerXL + spectrum control,2/17/2026,26289.762,151000000,Academia and industry collaboration,3/11/2020,3/11/2020,,,,151000000,26289.762,,,,
Translation-invariant MLP,2/17/2026,1.80E-05,816,Academia,6/15/1987,6/15/1987,,,,816,1.80E-05,,,,
TrellisNet,2/17/2026,2780,180000000,Academia and industry collaboration,10/15/2018,10/15/2018,,,,180000000,2780,,,,
Turing ULRv5,2/17/2026,28983952,2200000000,Industry,9/28/2021,9/28/2021,,,,2200000000,28983952,,,,
Turing-NLG,2/17/2026,15700000,17000000000,Industry,2/13/2020,2/13/2020,,,,17000000000,15700000,,,,
Two Stage Feature Extraction (MNIST),2/17/2026,0.020754,258800,Academia,9/1/2009,9/1/2009,,,,258800,0.020754,,,,
U-Net,2/17/2026,50.832253,37676160,Academia,5/18/2015,5/18/2015,,,,37676160,50.832253,,,,
U-PaLM (540B),2/17/2026,2530000100,5.40E+11,Industry,10/20/2022,10/20/2022,,,,5.40E+11,2530000100,,,,
UDSMProt,2/17/2026,637,28303800,Other,9/4/2019,9/4/2019,,,,28303800,637,,,,
UL2,2/17/2026,120000000,20000000000,Industry,5/10/2022,5/10/2022,,,,20000000000,120000000,,,,
UnifiedQA,2/17/2026,16500,11000000000,Other,5/2/2020,5/2/2020,,,,11000000000,16500,,,,
Unsupervised High-level Feature Learner,2/17/2026,600,1000000000,Industry,7/12/2012,7/12/2012,,,,1000000000,600,,,,
VALL-E,2/17/2026,10100,353000000,Industry,1/5/2023,1/5/2023,,,,353000000,10100,,,,
VD-LSTM+REAL Large,2/17/2026,21.3,51000000,Academia and industry collaboration,11/4/2016,11/4/2016,,,,51000000,21.3,,,,
VGG16,2/17/2026,12291,138000000,Academia,9/4/2014,9/4/2014,,,,138000000,12291,,,,
VGG19,2/17/2026,11000,144000000,Academia,9/4/2014,9/4/2014,,,,144000000,11000,,,,
VILA-13B,2/17/2026,2300313.5,13350839296,Academia and industry collaboration,12/12/2023,12/12/2023,,,,13350839296,2300313.5,,,,
VILA1.5-13B,2/17/2026,2300313.5,13493916736,Academia and industry collaboration,5/3/2024,5/3/2024,,,,13493916736,2300313.5,,,,
"Variational (untied weights, MC) LSTM (Large)",2/17/2026,5.886144,66000000,Academia,12/16/2015,12/16/2015,,,,66000000,5.886144,,,,
Vega v2,2/17/2026,77600000,6000000000,Academia,12/4/2022,12/4/2022,,,,6000000000,77600000,,,,
ViT-22B,2/17/2026,193248000,21743000000,Industry,2/10/2023,2/10/2023,,,,21743000000,193248000,,,,
ViT-G (model soup),2/17/2026,3400000.2,1843000000,Academia and industry collaboration,3/10/2022,3/10/2022,,,,1843000000,3400000.2,,,,
ViT-G/14,2/17/2026,58500000,1843000000,Industry,6/8/2021,6/8/2021,,,,1843000000,58500000,,,,
ViT-Huge/14,2/17/2026,4262000,632000000,Industry,10/22/2020,10/22/2020,,,,632000000,4262000,,,,
VideoMAE V2,2/17/2026,9700000,1000000000,Academia,3/29/2023,3/29/2023,,,,1000000000,9700000,,,,
Volcano 13B,2/17/2026,45600000,13000000000,Academia and industry collaboration,11/13/2023,11/13/2023,,,,13000000000,45600000,,,,
WeNet (Penn Treebank),2/17/2026,730,23000000,Industry,4/8/2019,4/8/2019,,,,23000000,730,,,,
Weight Decay,2/17/2026,0.000075474,8386,Other,12/2/1991,12/2/1991,,,,8386,0.000075474,,,,
Whisper,2/17/2026,4207266.5,1550000000,Industry,9/21/2022,9/21/2022,,,,1550000000,4207266.5,,,,
Word2Vec (large),2/17/2026,38.879997,692000000,Industry,10/16/2013,10/16/2013,,,,692000000,38.879997,,,,
XGLM-7.5B,2/17/2026,22500000,7500000000,Industry,12/20/2021,12/20/2021,,,,7500000000,22500000,,,,
XLM-RoBERTa,2/17/2026,20760000,550000000,Industry,11/5/2019,11/5/2019,,,,550000000,20760000,,,,
XLMR-XXL,2/17/2026,33660000,10700000000,Industry,8/17/2021,8/17/2021,,,,10700000000,33660000,,,,
XLNet,2/17/2026,6190000,340000000,Academia and industry collaboration,6/1/2019,6/1/2019,,,,340000000,6190000,,,,
Xception,2/17/2026,436000,22855952,Industry,10/7/2016,10/7/2016,,,,22855952,436000,,,,
YOLOX-X,2/17/2026,634275,99100000,Industry,8/6/2021,8/6/2021,,,,99100000,634275,,,,
YOLOv3,2/17/2026,13416.381,56933216,Academia,4/8/2018,4/8/2018,,,,56933216,13416.381,,,,
Yi-34B,2/17/2026,610000060,34000000000,Industry,11/2/2023,11/2/2023,,,,34000000000,610000060,,,,
Yi-Large,2/17/2026,1800000000,1.00E+11,Industry,5/13/2024,5/13/2024,,,,1.00E+11,1800000000,,,,
Yuan 1.0,2/17/2026,353800030,2.46E+11,Industry,10/12/2021,10/12/2021,,,,2.46E+11,353800030,,,,
Zidong Taichu,2/17/2026,801600,3200000000,Other,8/11/2021,8/11/2021,,,,3200000000,801600,,,,
Zip CNN,2/17/2026,0.001496338,9760,Industry,12/1/1989,12/1/1989,,,,9760,0.001496338,,,,
aLSTM(depth-2)+RecurrentPolicy (WT2),2/17/2026,72.96,32000000,Other,5/22/2018,5/22/2018,,,,32000000,72.96,,,,
base LM+GNN+kNN,2/17/2026,52587.457,274000000,Academia and industry collaboration,10/17/2021,10/17/2021,,,,274000000,52587.457,,,,
eDiff-I,2/17/2026,54600.004,9100000000,Industry,11/2/2022,11/2/2022,,,,9100000000,54600.004,,,,
genCNN + dyn eval,2/17/2026,34.15345,8000000,Academia and industry collaboration,3/17/2015,3/17/2015,,,,8000000,34.15345,,,,
gpt-oss-120b,2/17/2026,4940000000,1.17E+11,Industry,8/5/2025,8/5/2025,,,,1.17E+11,4940000000,,,,
gpt-oss-20b,2/17/2026,549000000,20910000000,Industry,8/5/2025,8/5/2025,,,,20910000000,549000000,,,,
mT5-XXL,2/17/2026,82000000,13000000000,Industry,10/20/2020,10/20/2020,,,,13000000000,82000000,,,,
nekomata-14b,2/17/2026,255620000,14200000000,Industry,12/21/2023,12/21/2023,,,,14200000000,255620000,,,,
wave2vec 2.0 LARGE,2/17/2026,3870720,317000000,Industry,10/22/2020,10/22/2020,,,,317000000,3870720,,,,
xTrimoPGLM -100B,2/17/2026,620000000,1.00E+11,Academia and industry collaboration,7/6/2023,7/6/2023,,,,1.00E+11,620000000,,,,
